C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,fail,fail,pass,fail,pass,pass,3,fail,영풍,000670.KS,KR,43300.0,49950.0
unknown,fail,fail,pass,fail,pass,fail,2,fail,天顺风能,002531.SZ,CN,7.44,8.12
unknown,unknown,pass,pass,fail,unknown,fail,2,fail,TSE4174,4174.T,JP,1019.0,1018.0
unknown,fail,fail,pass,fail,fail,fail,1,fail,金龙羽,002882.SZ,CN,21.71,25.65
unknown,fail,fail,pass,fail,pass,fail,2,fail,大金重工,002487.SZ,CN,39.77,40.87
pass,fail,fail,pass,pass,pass,pass,5,fail,Frontline Plc Ordinary Shares,FRO,US,47.56,49.56
pass,fail,fail,pass,pass,pass,pass,5,fail,Obsidian Energy Ltd. Common Shares,OBE,US,11.21,13.08
unknown,fail,fail,pass,pass,fail,pass,3,fail,ACV Auctions Inc. Class A Common Stock,ACVA,US,10.43,8.38
fail,unknown,fail,pass,fail,unknown,pass,2,fail,샌즈랩,411080.KQ,KR,6350.0,5510.0
unknown,fail,fail,pass,fail,fail,fail,1,fail,天融信,002212.SZ,CN,6.93,7.4
fail,fail,fail,pass,fail,fail,pass,2,fail,Woori Financial Group Inc. American De,WF,US,77.43,77.68
unknown,fail,fail,pass,fail,fail,fail,1,fail,双星新材,002585.SZ,CN,11.2,11.1
unknown,pass,fail,pass,fail,fail,pass,3,fail,"Inspire Medical Systems, Inc. Common S",INSP,US,69.06,68.5
unknown,fail,fail,pass,fail,pass,pass,3,fail,Roblox Corporation Class A Common Stoc,RBLX,US,48.99,46.5
pass,fail,fail,pass,pass,pass,pass,5,fail,"Frequency Electronics, Inc. - Common S",FEIM,US,84.54,80.6
unknown,fail,fail,pass,unknown,pass,pass,3,fail,에스투더블유,488280.KQ,KR,15870.0,11830.0
unknown,fail,pass,pass,pass,fail,fail,3,fail,闽东电力,000993.SZ,CN,19.32,13.88
fail,fail,fail,pass,fail,fail,pass,2,fail,샘표식품,248170.KS,KR,22200.0,30150.0
unknown,fail,fail,pass,pass,fail,pass,3,fail,CVR Energy Inc. Common Stock,CVI,US,51.8,47.85
pass,fail,fail,pass,pass,pass,pass,5,fail,Tsakos Energy Navigation Ltd Common Sh,TEN,US,47.0,44.51
unknown,fail,fail,pass,pass,fail,fail,2,fail,三孚股份,603938.SS,CN,48.03,49.56
pass,fail,fail,pass,fail,pass,pass,4,fail,Kinetik Holdings Inc. Class A Common S,KNTK,US,52.92,56.1
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE6036,6036.T,JP,3495.0,3650.0
unknown,fail,fail,pass,pass,pass,fail,3,fail,TSE6203,6203.T,JP,2455.0,1912.0
unknown,fail,fail,pass,pass,pass,pass,4,fail,Sasol Ltd. American Depositary Shares,SSL,US,14.29,13.33
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,유일로보틱스,388720.KQ,KR,68900.0,77800.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,CHERVON,2285.HK,HK,25.2,22.5
unknown,fail,fail,pass,fail,fail,fail,1,fail,湖南发展,000722.SZ,CN,13.29,14.74
unknown,fail,fail,pass,fail,fail,fail,1,fail,水发燃气,603318.SS,CN,8.86,10.55
pass,fail,fail,pass,fail,pass,pass,4,fail,미코,059090.KQ,KR,22550.0,20100.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE2782,2782.T,JP,4680.0,4660.0
fail,fail,fail,pass,fail,fail,pass,2,fail,"Solaris Energy Infrastructure, Inc. Cl",SEI,US,67.43,66.09
unknown,fail,pass,pass,pass,fail,fail,3,fail,云煤能源,600792.SS,CN,5.7,4.92
unknown,fail,fail,pass,pass,pass,pass,4,fail,Roivant Sciences Ltd. - Common Shares,ROIV,US,36.82,37.97
unknown,fail,fail,pass,fail,unknown,pass,2,fail,범한퓨얼셀,382900.KQ,KR,24000.0,20550.0
unknown,fail,fail,pass,fail,fail,pass,2,fail,"Chime Financial, Inc. - Class A Common",CHYM,US,27.07,34.44
fail,fail,fail,pass,fail,fail,pass,2,fail,ODDITY Tech Ltd. - Class A Ordinary Sh,ODD,US,18.07,15.62
